Date,Total Commercial,US <-> US,US <-> NON US,US <-> Europe,US <-> Latin America,US <-> Asia,US <-> China,Canada <-> Canada,Canada <-> NON Canada,Europe <-> Europe,Europe <-> NON Europe,Europe <-> UK,Europe <-> Asia,Europe <-> Latin America,UK <-> UK,UK <-> NON UK,Italy <-> Italy,Italy <-> NON Italy,China <-> China,China <-> NON China,Brazil <-> Brazil,Brazil <-> NON Brazil,India <-> India,India <-> NON India,Iran <-> Iran,Iran <-> NON Iran
2020-01-23,105890,27326,5321,799,2330,698,140,2717,1717,18097,5999,2731,1723,383,811,3591,610,1886,10840,3042,2357,465,2820,1212,87,189
2020-01-24,105132,26999,5351,821,2354,657,115,2627,1781,19454,6366,3133,1761,409,867,4056,651,2169,9005,2931,2335,460,2843,1239,110,182
2020-01-25,92176,22279,5511,864,2755,643,113,1799,1686,14154,6780,2548,1752,432,387,3529,483,1796,8900,2826,1990,460,2847,1225,104,177
2020-01-26,97283,22662,5215,902,2355,628,113,1803,1696,17723,6546,3160,1750,421,669,4080,572,2102,9491,2841,2033,463,2780,1198,102,190
2020-01-27,101573,25472,5084,831,2241,586,109,2501,1675,18761,5952,2970,1583,374,811,3806,641,2082,9296,2721,2374,450,2926,1131,84,173
2020-01-28,98306,25927,4817,715,2111,587,109,2639,1613,16547,5691,2354,1602,384,752,3200,552,1683,8171,2723,2392,436,2856,1139,116,191
2020-01-29,98276,25911,4958,739,2179,592,102,2596,1648,17128,5696,2411,1639,352,771,3190,571,1695,7063,2734,2427,431,2854,1215,103,174
2020-01-30,100411,27288,5209,783,2332,630,110,2714,1703,18136,5980,2797,1658,383,763,3658,619,1879,6396,2654,2393,478,2891,1201,91,169
2020-01-31,99465,27288,5291,815,2353,610,96,2580,1782,19023,6285,3135,1712,408,833,4048,636,2140,5241,2443,2347,448,2852,1237,109,188
2020-02-01,87727,22214,5443,831,2734,622,97,1850,1701,14450,6806,2645,1719,439,422,3638,491,1814,4995,1984,2049,461,2853,1204,116,179
2020-02-02,90186,21472,5007,837,2337,576,79,1822,1651,17719,6444,3131,1704,415,675,4002,586,2096,4867,1775,2025,450,2840,1197,120,184
2020-02-03,94778,25642,5053,816,2248,536,57,2574,1716,19006,5916,3081,1547,380,864,3927,643,2053,3567,1510,2321,433,2874,1122,113,177
2020-02-04,90977,26021,4723,703,2116,524,40,2490,1628,16912,5618,2554,1534,375,769,3393,550,1716,2900,1332,2276,418,2837,1142,122,181
2020-02-05,91850,25468,4856,728,2199,542,39,2612,1643,17435,5629,2584,1554,355,817,3376,560,1788,2934,1254,2225,415,2924,1193,121,182
2020-02-06,94233,26295,5030,787,2283,542,31,2602,1707,18426,6041,2911,1574,372,856,3792,609,1927,2820,1140,2332,456,2903,1152,105,178
2020-02-07,96193,26400,5024,820,2316,559,33,2081,1622,19795,6292,3321,1659,416,926,4235,632,2236,3159,1208,2340,451,2983,1230,119,189
2020-02-08,85206,22388,5384,831,2723,570,45,1786,1706,14777,6714,2770,1655,435,437,3732,486,1918,3453,1088,1983,448,2894,1187,118,177
2020-02-09,86737,22008,4881,730,2339,547,38,1902,1642,15670,6148,2153,1586,405,318,2855,552,2038,4327,1082,2042,442,2861,1173,115,178
2020-02-10,90987,25682,4900,784,2210,517,36,2529,1697,17328,5869,2996,1482,380,849,3857,634,2030,2705,858,2235,419,2934,1126,110,167
2020-02-11,89409,26025,4707,733,2080,501,28,2659,1657,16989,5734,2620,1512,380,764,3498,556,1836,2057,722,2237,433,2863,1128,102,175
2020-02-12,91166,26175,4936,742,2210,525,41,2627,1697,17819,5736,2753,1559,345,824,3563,579,1854,1963,738,2277,417,2945,1209,90,166
2020-02-13,94240,27695,5154,832,2380,527,26,2613,1660,18859,6040,3141,1554,384,838,4048,618,2043,1715,685,2300,453,2939,1172,88,182
2020-02-14,97236,28507,5395,838,2497,555,35,2585,1830,20265,6321,3495,1623,411,849,4412,664,2312,1966,702,2330,461,2947,1229,136,180
2020-02-15,85062,23524,5603,851,2898,565,39,1878,1737,15382,6846,2806,1664,439,376,3785,491,2026,2000,687,1949,464,2924,1201,120,165
2020-02-16,86589,21955,5084,868,2433,525,31,1832,1665,17952,6514,3153,1609,415,622,4064,563,2193,2411,704,2010,463,2918,1191,114,169
2020-02-17,92199,25978,5203,832,2392,518,35,2389,1787,19484,5934,3257,1474,370,852,4155,662,2240,1880,561,2311,437,2945,1137,109,153
2020-02-18,91038,27438,5018,754,2325,526,38,2510,1654,17642,5802,2859,1497,370,820,3763,578,1951,1859,536,2262,419,2875,1121,137,169
2020-02-19,92951,27451,5100,757,2338,533,44,2579,1699,18315,5818,2886,1541,348,837,3712,589,1963,2206,579,2254,440,2978,1184,120,172
2020-02-20,95189,27859,5215,850,2348,532,40,2712,1754,19126,6134,3198,1557,386,842,4113,638,2110,2135,573,2371,476,2954,1164,109,158
2020-02-21,95580,27939,5325,850,2405,554,43,2642,1832,20114,6340,3468,1599,414,815,4402,640,2345,2388,588,2311,474,2929,1226,102,162
2020-02-22,82522,23766,5673,879,2892,562,45,1832,1768,15557,6735,3027,1618,441,415,4033,460,2070,1701,500,1879,459,2809,1186,106,155
2020-02-23,84828,23719,5217,919,2481,515,31,1886,1705,18118,6173,3367,1585,421,590,4278,551,2234,2127,519,1256,430,2771,1174,96,162
2020-02-24,89135,26323,5127,857,2314,511,37,2550,1743,19200,6022,3312,1419,370,767,4200,605,2256,1953,480,1345,416,2832,1128,99,149
2020-02-25,87923,27183,4918,785,2202,515,35,2565,1665,17194,5939,2861,1445,381,760,3845,340,1823,2120,500,1703,410,2798,1120,109,109
2020-02-26,89559,27309,4996,806,2292,528,42,2485,1625,17814,5693,2875,1492,354,718,3736,520,1921,2228,536,2203,428,2894,1169,96,88
2020-02-27,91030,28016,5100,860,2389,544,44,2222,1560,18582,5906,3112,1484,394,796,4026,564,2016,2101,542,2091,439,2856,1142,69,79
2020-02-28,93729,28136,5375,871,2418,561,41,2453,1805,19736,6275,3394,1596,413,791,4317,565,2242,2554,616,2031,432,2902,1225,88,77
2020-02-29,82554,23690,5593,871,2880,561,47,1876,1748,15204,6649,2881,1589,435,395,3868,406,1960,2637,539,1761,466,2868,1180,72,70
2020-03-01,86833,23634,5199,899,2474,528,38,1890,1797,18069,6359,3339,1530,430,620,4234,478,2083,3385,601,1913,465,2832,1171,77,65
2020-03-02,90425,26346,5049,864,2265,512,39,2472,1780,19026,5825,3241,1375,377,778,4110,501,2053,3222,534,2254,462,2859,1096,62,62
2020-03-03,88294,27214,4981,812,2244,498,43,2535,1681,17255,5739,2806,1376,368,712,3743,445,1730,3053,539,2212,411,2775,1062,69,46
2020-03-04,89081,27325,5091,842,2307,510,43,2557,1694,17655,5664,2823,1427,343,706,3650,458,1692,2893,589,2157,384,2913,1129,71,64
2020-03-05,90484,28119,5297,878,2415,513,35,2611,1746,17936,5910,3020,1410,379,548,3941,480,1724,2717,552,2156,440,2867,1098,58,52
2020-03-06,92156,28299,5421,871,2434,537,45,2570,1867,18982,6147,3275,1431,403,595,4205,497,1914,2917,595,2177,423,2819,1143,67,50
2020-03-07,81376,24322,5857,933,3032,546,49,1783,1807,14557,6671,2806,1488,424,292,3831,387,1689,2624,537,1907,431,2761,1095,68,49
2020-03-08,86516,26191,5381,843,2609,486,49,1950,1852,16943,6184,3196,1428,412,457,4080,442,1718,3076,533,1928,445,2813,1080,69,58
2020-03-09,91299,26761,5134,848,2340,480,47,2612,1809,17923,5785,3206,1284,363,637,4091,439,1453,4257,553,2291,419,2935,960,70,45
2020-03-10,88130,27429,4972,776,2290,469,48,2559,1711,15650,5618,2632,1275,366,522,3542,346,977,3998,705,2257,402,2876,969,71,42
2020-03-11,89254,27537,5059,794,2318,481,53,2626,1713,15456,5565,2555,1314,345,541,3377,216,658,4344,654,2248,393,3022,1037,78,55
2020-03-12,91107,28704,5283,864,2411,479,40,2651,1769,15976,5779,2875,1317,370,621,3802,140,651,4079,635,2254,443,2995,996,69,58
2020-03-13,91950,28680,5383,845,2503,516,55,2418,1866,16696,5974,3056,1358,389,636,3999,120,660,4412,691,2286,406,3004,992,62,48
2020-03-14,80211,24631,5746,737,3110,491,54,1853,1850,12168,5891,2467,1333,407,315,3430,69,210,4296,662,1903,417,2936,929,59,41
2020-03-15,82924,24961,5034,716,2525,451,39,1873,1767,13660,5592,2702,1246,398,487,3633,74,217,5086,678,1879,437,2952,867,82,65
2020-03-16,82186,26646,4788,620,2335,448,40,2262,1727,12717,4849,2475,1072,330,655,3355,82,215,4675,624,2101,399,2937,734,51,53
2020-03-17,76234,26848,4462,503,2164,437,44,2286,1668,9635,4495,1787,938,301,551,2617,80,225,4423,650,1867,369,2758,643,62,44
2020-03-18,71899,25295,4247,467,2073,447,55,2147,1559,8510,4191,1576,942,272,549,2271,73,199,4710,688,1558,330,2602,611,63,52
2020-03-19,68207,23973,4128,445,2024,468,48,2050,1512,8047,3844,1624,843,261,562,2370,65,214,4443,673,1583,328,2483,550,57,50
2020-03-20,66339,23004,4024,369,2019,453,60,1838,1540,8010,3707,1659,814,269,605,2345,64,212,4948,716,1537,313,2414,515,29,36
2020-03-21,55009,19559,4056,336,2365,413,56,1343,1393,4851,3299,926,802,260,217,1514,59,147,4388,638,1393,286,2138,501,34,25
2020-03-22,51402,18024,3241,314,1690,375,48,1274,1182,5259,2804,1022,712,244,354,1441,50,132,4815,624,921,232,1437,134,43,34
2020-03-23,47041,17220,2470,254,1199,361,55,1554,794,4303,2332,795,558,187,336,1157,68,147,4342,625,781,181,1659,72,31,32
2020-03-24,44553,17725,2231,253,1048,328,49,1376,650,3709,2238,596,549,176,235,943,70,160,4088,615,473,130,1407,128,38,33
2020-03-25,40312,16267,1938,260,873,276,53,1269,551,3353,2125,450,487,138,176,711,63,162,4605,664,352,104,59,72,37,35
2020-03-26,38625,15742,1842,281,782,283,57,1062,483,3301,2103,473,466,140,167,755,59,145,4284,645,349,114,71,51,40,33
2020-03-27,37029,14463,1666,229,725,270,59,949,448,3343,2054,462,473,117,154,722,53,155,4627,694,328,104,40,55,38,26
2020-03-28,31708,12900,1468,221,650,283,62,637,343,2053,1840,332,485,125,79,573,50,114,4620,685,169,91,38,63,42,28
2020-03-29,31160,12624,1242,192,522,235,49,571,304,2245,1653,389,427,80,64,576,47,125,4882,453,157,69,29,49,46,42
2020-03-30,30564,12348,1248,189,538,241,41,756,283,2425,1477,311,328,56,112,460,58,114,4350,442,219,76,32,38,36,21
2020-03-31,31804,13416,1340,187,526,252,58,830,331,2206,1444,280,360,53,105,447,60,108,4552,546,211,77,49,60,34,12
2020-04-01,30979,13132,1239,187,486,240,57,898,264,2147,1369,262,355,44,106,431,63,135,4456,564,181,68,42,78,43,35
2020-04-02,28809,11883,1202,192,481,225,42,801,243,1971,1281,269,354,47,95,434,68,122,4319,508,187,70,43,67,43,39
2020-04-03,29088,11765,1234,194,470,246,50,716,279,1992,1241,284,334,43,100,440,52,118,4920,545,223,59,51,79,46,38
2020-04-04,23215,10209,1077,175,431,218,45,459,222,1146,1058,214,361,30,40,347,43,104,3309,533,106,42,37,76,48,27
2020-04-05,23796,9746,974,184,377,204,42,440,207,1360,1103,231,364,35,44,365,58,99,3850,485,139,52,28,78,53,23
2020-04-06,25427,9871,1005,173,399,210,44,595,202,1602,1014,198,300,26,79,321,59,109,4900,471,202,47,34,38,49,19
2020-04-07,26231,10662,1111,174,431,243,47,747,215,1578,1049,177,357,29,93,339,62,110,4640,547,164,67,45,53,42,28
2020-04-08,26996,11082,1122,176,433,228,47,742,224,1645,1086,209,341,27,89,340,64,121,4881,594,161,60,25,76,43,32
2020-04-09,25781,10673,1054,186,345,248,43,707,227,1523,1095,199,366,31,92,347,66,110,4506,554,176,68,38,83,35,29
